User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
141577691,6/21/2021 15:34,Spot,Buy,1INCH,3.7,
141577691,6/21/2021 15:34,Spot,Fee,BNB,-0.00002727,
141577691,6/21/2021 15:37,Spot,Transaction Related,USDT,-10.99999524,
141577691,6/21/2021 15:37,Spot,Fee,BNB,-0.0000236,
141577691,6/21/2021 15:37,Spot,Buy,SHIB,1573676,
141577691,6/21/2021 21:42,Spot,Buy,RUNE,1.748,
141577691,6/21/2021 21:42,Spot,Fee,BNB,-0.0000288,
141577691,6/21/2021 21:42,Spot,Transaction Related,USDT,-10.99492,
141577691,6/22/2021 0:20,Spot,Fee,BNB,-0.00003237,
141577691,6/22/2021 0:20,Spot,Transaction Related,RUNE,-1.978,
141577691,6/22/2021 0:20,Spot,Buy,USDT,11.320094,
141577691,6/22/2021 0:20,Spot,Fee,BNB,-0.00002235,
141577691,6/22/2021 0:20,Spot,Transaction Related,RUNE,-1.366,
141577691,6/22/2021 0:20,Spot,Buy,USDT,7.816252,
141577691,6/22/2021 0:23,Spot,Small assets exchange BNB,BNB,0.00103981,
141577691,6/22/2021 0:23,Spot,Small assets exchange BNB,LPT,-0.00748,
141577691,6/22/2021 0:23,Spot,Small assets exchange BNB,KEEP,-0.979,
141577691,6/22/2021 0:23,Spot,Small assets exchange BNB,BNB,0.00054388,
141577691,6/22/2021 0:25,Spot,Fee,BNB,-0.00002815,
141577691,6/22/2021 0:25,Spot,Transaction Related,USDT,-10.99999938,
141577691,6/22/2021 0:25,Spot,Buy,SHIB,1877133,
141577691,6/22/2021 0:26,Spot,Transaction Related,SHIB,-3450809,
141577691,6/22/2021 0:26,Spot,Buy,USDT,20.25624883,
141577691,6/22/2021 0:26,Spot,Fee,BNB,-0.0000579,
141577691,6/22/2021 1:01,Spot,Buy,USDT,10.0233,
141577691,6/22/2021 1:01,Spot,Fee,BNB,-0.00002736,
141577691,6/22/2021 1:01,Spot,Transaction Related,1INCH,-3.7,
141577691,6/22/2021 1:42,Spot,Buy,SXP,5.854,
141577691,6/22/2021 1:42,Spot,Fee,BNB,-0.00002956,
141577691,6/22/2021 1:42,Spot,Transaction Related,USDT,-10.993812,
141577691,6/22/2021 1:47,Spot,Fee,BNB,-0.00002951,
141577691,6/22/2021 1:47,Spot,Buy,USDT,11.06406,
141577691,6/22/2021 1:47,Spot,Transaction Related,SXP,-5.854,
141577691,6/22/2021 1:51,Spot,Buy,SXP,5.851,
141577691,6/22/2021 1:51,Spot,Transaction Related,USDT,-10.99988,
141577691,6/22/2021 1:51,Spot,Fee,BNB,-0.00002943,
141577691,6/22/2021 1:57,Spot,Transaction Related,USDT,-10.073404,
141577691,6/22/2021 1:57,Spot,Buy,BNB,0.0358,
141577691,6/22/2021 1:57,Spot,Fee,BNB,-0.00002685,
141577691,6/22/2021 1:59,Spot,Fee,BNB,-0.00002955,
141577691,6/22/2021 1:59,Spot,Transaction Related,SXP,-5.851,
141577691,6/22/2021 1:59,Spot,Buy,USDT,11.093496,
141577691,6/22/2021 2:01,Spot,Buy,SXP,5.817,
141577691,6/22/2021 2:01,Spot,Fee,BNB,-0.00002943,
141577691,6/22/2021 2:01,Spot,Transaction Related,USDT,-10.999947,
141577691,6/22/2021 2:18,Spot,Transaction Related,USDT,-10.9896,
141577691,6/22/2021 2:18,Spot,Buy,KEEP,38,
141577691,6/22/2021 2:18,Spot,Fee,BNB,-0.00002882,
141577691,6/22/2021 2:33,Spot,Transaction Related,KEEP,-38,
141577691,6/22/2021 2:33,Spot,Fee,BNB,-0.00003024,
141577691,6/22/2021 2:33,Spot,Buy,USDT,11.3962,
141577691,6/22/2021 2:34,Spot,Buy,KEEP,36,
141577691,6/22/2021 2:34,Spot,Fee,BNB,-0.0000289,
141577691,6/22/2021 2:34,Spot,Transaction Related,USDT,-10.8756,
141577691,6/22/2021 2:48,Spot,Transaction Related,SXP,-5.817,
141577691,6/22/2021 2:48,Spot,Fee,BNB,-0.00002909,
141577691,6/22/2021 2:48,Spot,Buy,USDT,11.011581,
141577691,6/22/2021 2:55,Spot,Fee,BNB,-0.00002907,
141577691,6/22/2021 2:55,Spot,Transaction Related,USDT,-10.998459,
141577691,6/22/2021 2:55,Spot,Buy,SUSHI,1.497,
141577691,6/22/2021 3:00,Spot,Transaction Related,SUSHI,-1.497,
141577691,6/22/2021 3:00,Spot,Buy,USDT,11.064327,
141577691,6/22/2021 3:00,Spot,Fee,BNB,-0.00002896,
